06-15-2026 05:34:21 RAM 8853/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2264,100%@2266,100%@2265,100%@2266] EMC_FREQ 1%@2133 GR3D_FREQ 1%@[1377] VIC_FREQ 115 APE 150 AUX@37C CPU@41C thermal@38.2C Tboard@35C AO@36C GPU@37C Tdiode@41.75C PMIC@50C GPU 1108mW/1094mW CPU 9658mW/8221mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 633mW/525mW SYS5V 3160mW/3125mW
06-15-2026 05:34:21 RAM 8914/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2266,100%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 1%@[1377] VIC_FREQ 115 APE 150 AUX@37C CPU@41C thermal@38.2C Tboard@35C AO@36C GPU@37C Tdiode@41.75C PMIC@50C GPU 1108mW/1094mW CPU 9658mW/8283mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 633mW/530mW SYS5V 3160mW/3126mW
06-15-2026 05:34:21 RAM 8978/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2264,100%@2266,100%@2265,100%@2265,100%@2265,100%@2261,100%@2265,100%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37C CPU@41C thermal@38.2C Tboard@35C AO@36C GPU@37C Tdiode@41.75C PMIC@50C GPU 1108mW/1095mW CPU 9658mW/8340mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 633mW/534mW SYS5V 3160mW/3128mW
06-15-2026 05:34:22 RAM 9028/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,90%@2264,100%@2264,100%@2276,100%@2264,100%@2265,95%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 2%@[1377] VIC_FREQ 115 APE 150 AUX@37C CPU@41C thermal@38.2C Tboard@35C AO@36C GPU@37C Tdiode@42C PMIC@50C GPU 1108mW/1095mW CPU 9658mW/8393mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 633mW/538mW SYS5V 3160mW/3129mW
06-15-2026 05:34:22 RAM 9066/30991MB (lfb 2093x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2263,100%@2265,100%@2265,100%@2265,100%@2265,100%@2264,100%@2265,100%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 2%@[1377] VIC_FREQ 115 APE 150 AUX@37C CPU@41.5C thermal@38.2C Tboard@35C AO@36C GPU@37.5C Tdiode@42C PMIC@50C GPU 1266mW/1102mW CPU 9658mW/8442mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 633mW/541mW SYS5V 3160mW/3130mW
06-15-2026 05:34:22 RAM 9132/30991MB (lfb 2085x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2269,100%@2268,100%@2265,100%@2265,100%@2262,95%@2262,100%@2265,100%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37C CPU@41C thermal@38.5C Tboard@35C AO@36C GPU@37.5C Tdiode@42C PMIC@50C GPU 1108mW/1102mW CPU 9658mW/8487mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 633mW/545mW SYS5V 3160mW/3131mW
06-15-2026 05:34:22 RAM 9172/30991MB (lfb 2079x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2266,100%@2264] EMC_FREQ 1%@2133 GR3D_FREQ 2%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41C thermal@38.5C Tboard@35C AO@36C GPU@37.5C Tdiode@42C PMIC@50C GPU 1266mW/1108mW CPU 9658mW/8529mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 633mW/548mW SYS5V 3160mW/3132mW
06-15-2026 05:34:22 RAM 9224/30991MB (lfb 2077x4MB) SWAP 0/15495MB (cached 0MB) CPU [85%@2265,100%@2265,100%@2263,100%@2265,100%@2265,100%@2266,100%@2264,100%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 3%@[1377] VIC_FREQ 115 APE 150 AUX@37C CPU@41.5C thermal@38.5C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42C PMIC@50C GPU 1108mW/1108mW CPU 9658mW/8568mW SOC 2535mW/2535mW CV 158mW/158mW VDDRQ 633mW/551mW SYS5V 3160mW/3133mW
06-15-2026 05:34:23 RAM 9309/30991MB (lfb 2062x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2264,100%@2254,100%@2265,100%@2265,100%@2264,100%@2262] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37C CPU@41.5C thermal@38.5C Tboard@35C AO@36C GPU@37.5C Tdiode@42C PMIC@50C GPU 1108mW/1108mW CPU 9658mW/8604mW SOC 2535mW/2535mW CV 158mW/158mW VDDRQ 633mW/554mW SYS5V 3160mW/3134mW
06-15-2026 05:34:23 RAM 9347/30991MB (lfb 2059x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2264,100%@2265,100%@2264,100%@2264,100%@2265,95%@2264] EMC_FREQ 1%@2133 GR3D_FREQ 4%@[1377] VIC_FREQ 115 APE 150 AUX@37C CPU@41.5C thermal@38.5C Tboard@35C AO@36C GPU@37.5C Tdiode@42C PMIC@50C GPU 1108mW/1108mW CPU 9658mW/8638mW SOC 2534mW/2535mW CV 158mW/158mW VDDRQ 633mW/556mW SYS5V 3160mW/3135mW
